Year,Player ,Age,Years of Experience (YOE),Team,First Place Votes,Total Voting Points ,Voting Point Max,Games Played (GP),Team Winning Percentage,Team Wins (TW),Team Losses (TL),Offensive Rating (ORtg),Defensive Rating (DRtg),Net Rating (NRtg),Minutes Played (MP),Minutes Played Per Game (MPG),Points (PTS),Points Per Game (PPG),Rebounds (REB),Total Rebounds Per Game (TRB),Offensive Rebounds Per Game (ORB),Defensive Per Game (DRB),Assist (AST),Assist Per Game (APG),Steals Per Game (SPG),Blocks Per Game (BPG),Field Goal Percentage (FG%),2 Point Field Goal Made (2P),3 Point Field Goal Made (3P),Three Point Percentage (3P%),Free Throw Percentage (FT%),True Shooting Percentage (TS%),Offensive Win Shares (OWS),Defensive Win Shares (DWS),Win Shares (WS),Win Shares Per 48 mins (WS/48),Turnovers Per Game (TO),Personal Fouls Per Game (PF),Value Over Replacement Player (VORP),Player Efficiency Rating (PER),Value Added (VA),Estimated Wins Added (EWA),Usage Rate (USG),Plus/Minus (PM),Offensive Plus/Minus (OPM),Defensive Plus/Minus (DPM)
1955-56,Bob Pettit,23,1,STL,33,33,80,72,45.83%,33,39,87.6,88.9,1.3,2794,38.8,1849,25.7,1164,16.2,,,189,2.6,,,0.429,646,0,0.000,0.736,0.502,8.9,4.8,13.8,0.236,,2.6,,27.3,658.9,22.0,,,,
1956-57,Bob Cousy,28,6,BOS,23,23,80,64,61.11%,44,28,88.5,84.0,4.5,2364,36.9,1319,20.6,309,4.8,,,478,7.5,,,0.378,478,0,0.000,0.821,0.452,4.0,4.7,8.8,0.178,,2.1,,21.0,352.8,11.8,,,,
1957-58,Bill Russell,23,1,BOS,33,228,400,69,68.06%,49,23,88.0,83.6,4.4,2640,38.3,1142,16.6,1564,22.7,,,202,2.9,,,0.442,456,0,0.000,0.519,0.465,3.7,7.7,11.3,0.206,,2.6,,22.8,480.7,16.0,,,,
1958-59,Bob Pettit,26,4,STL,59,317,410,72,68.06%,49,23,93.3,90.1,3.2,2873,39.9,2105,29.2,1182,16.4,,,221,3.1,,,0.438,719,0,0.000,0.759,0.519,11.3,3.5,14.8,0.246,,2.8,,28.2,716.1,23.9,,,,
1959-60,Wilt Chamberlain,23,0,PHW,49,270,395,72,65.33%,49,26,88.7,86.8,1.9,3338,46.4,2707,37.6,1941,27.0,,,168,2.3,,,0.461,1065,0,0.000,0.582,0.493,9.0,8.0,17.0,0.245,,2.1,,28.0,866.9,28.9,,,,
1960-61,Bill Russell,26,4,BOS,35,213,380,78,72.15%,57,22,88.7,84.5,4.2,3458,44.3,1322,16.9,1868,23.9,,,268,3.4,,,0.426,532,0,0.000,0.550,0.454,1.7,11.3,13.0,0.181,,2.0,,18.1,387.1,12.9,,,,
1961-62,Bill Russell,27,5,BOS,51,297,425,76,75.00%,60,20,92.1,85.1,7.0,3433,45.2,1436,18.9,1790,23.6,,,341,4.5,,,0.457,575,0,0.000,0.595,0.489,3.9,11.6,15.5,0.217,,2.7,,19.4,450.9,15.0,,,,
1962-63,Bill Russell,28,6,BOS,56,341,505,78,72.50%,58,22,93.0,87.4,5.6,3500,44.9,1309,16.8,1843,23.6,,,348,4.5,,,0.432,511,0,0.000,0.555,0.464,1.0,12.6,13.5,0.185,,2.4,,18.2,397.0,13.2,,,,
1963-64,Oscar Robertson,25,3,CIN,60,362,480,79,68.75%,55,25,98.9,94.5,4.4,3559,45.1,2480,31.4,783,9.9,,,868,11.0,,,0.483,840,0,0.000,0.853,0.576,16.2,4.4,20.6,0.278,,3.5,,27.6,881.8,29.4,,,,
1964-65,Bill Russell,30,8,BOS,53,53,99,78,77.50%,62,18,90.9,84.2,6.7,3466,44.4,1102,14.1,1878,24.1,,,410,5.3,,,0.438,429,0,0.000,0.573,0.472,2.4,14.4,16.9,0.234,,2.6,,19.5,460.4,15.3,,,,
